Calculated Recovery Date,Zip Code,Frequency
05/19/2020,45030,1
05/19/2020,45140,2
05/19/2020,45204,2
05/19/2020,45205,10
05/19/2020,45206,2
05/19/2020,45207,1
05/19/2020,45209,1
05/19/2020,45211,3
05/19/2020,45212,1
05/19/2020,45213,2
05/19/2020,45215,4
05/19/2020,45216,1
05/19/2020,45224,2
05/19/2020,45225,4
05/19/2020,45229,4
05/19/2020,45230,1
05/19/2020,45231,1
05/19/2020,45233,1
05/19/2020,45237,1
05/19/2020,45238,7
05/19/2020,45239,1
05/19/2020,45240,5
05/19/2020,45246,3
05/19/2020,45249,1
05/19/2020,45251,2
05/20/2020,45140,1
05/20/2020,45204,1
05/20/2020,45205,10
05/20/2020,45211,2
05/20/2020,45214,1
05/20/2020,45216,1
05/20/2020,45224,1
05/20/2020,45230,1
05/20/2020,45231,18
05/20/2020,45236,1
05/20/2020,45238,7
05/20/2020,45239,3
05/20/2020,45240,4
05/20/2020,45246,4
05/20/2020,45247,1
05/20/2020,45249,3
05/20/2020,45251,2
05/20/2020,45255,1
05/21/2020,45030,1
05/21/2020,45202,1
05/21/2020,45204,1
05/21/2020,45205,4
05/21/2020,45206,1
05/21/2020,45212,1
05/21/2020,45214,2
05/21/2020,45215,5
05/21/2020,45216,1
05/21/2020,45220,1
05/21/2020,45230,1
05/21/2020,45231,1
05/21/2020,45237,5
05/21/2020,45238,3
05/21/2020,45239,2
05/21/2020,45240,4
05/21/2020,45241,2
05/21/2020,45244,1
05/21/2020,45246,4
05/21/2020,45251,4
05/22/2020,43215,1
05/22/2020,45205,11
05/22/2020,45211,1
05/22/2020,45214,1
05/22/2020,45216,1
05/22/2020,45219,2
05/22/2020,45220,2
05/22/2020,45223,1
05/22/2020,45230,1
05/22/2020,45231,4
05/22/2020,45233,1
05/22/2020,45236,1
05/22/2020,45237,1
05/22/2020,45238,1
05/22/2020,45239,3
05/22/2020,45240,8
05/22/2020,45241,1
05/22/2020,45243,1
05/22/2020,45246,3
05/22/2020,45247,4
05/22/2020,45251,5
05/23/2020,45202,1
05/23/2020,45205,1
05/23/2020,45211,2
05/23/2020,45213,1
05/23/2020,45214,3
05/23/2020,45215,1
05/23/2020,45220,2
05/23/2020,45227,1
05/23/2020,45231,1
05/23/2020,45233,1
05/23/2020,45237,2
05/23/2020,45238,7
05/23/2020,45239,1
05/23/2020,45240,3
05/23/2020,45241,1
05/23/2020,45242,1
05/23/2020,45246,1
05/23/2020,45248,1
05/24/2020,45030,1
05/24/2020,45204,2
05/24/2020,45205,3
05/24/2020,45211,2
05/24/2020,45215,2
05/24/2020,45216,1
05/24/2020,45219,1
05/24/2020,45223,2
05/24/2020,45231,2
05/24/2020,45237,1
05/24/2020,45238,3
05/24/2020,45239,2
05/24/2020,45240,2
05/24/2020,45246,2
05/24/2020,45247,3
05/24/2020,45248,1
05/24/2020,45249,1
05/24/2020,45251,1
05/25/2020,45030,1
05/25/2020,45204,1
05/25/2020,45205,7
05/25/2020,45209,1
05/25/2020,45211,3
05/25/2020,45212,2
05/25/2020,45213,1
05/25/2020,45215,3
05/25/2020,45216,1
05/25/2020,45217,1
05/25/2020,45224,1
05/25/2020,45227,1
05/25/2020,45229,1
05/25/2020,45230,3
05/25/2020,45231,5
05/25/2020,45236,1
05/25/2020,45237,2
05/25/2020,45238,2
05/25/2020,45239,4
05/25/2020,45240,15
05/25/2020,45241,4
05/25/2020,45243,1
05/25/2020,45246,6
05/25/2020,45247,1
05/25/2020,45249,1
05/25/2020,45251,6
05/26/2020,41042,1
05/26/2020,45030,1
05/26/2020,45202,1
05/26/2020,45203,1
05/26/2020,45204,1
05/26/2020,45205,11
05/26/2020,45206,2
05/26/2020,45211,6
05/26/2020,45212,2
05/26/2020,45213,2
05/26/2020,45215,2
05/26/2020,45223,1
05/26/2020,45224,3
05/26/2020,45229,3
05/26/2020,45231,3
05/26/2020,45233,1
05/26/2020,45238,1
05/26/2020,45239,2
05/26/2020,45240,6
05/26/2020,45241,2
05/26/2020,45246,3
05/26/2020,45247,1
05/26/2020,45248,1
05/26/2020,45251,2
05/27/2020,45203,1
05/27/2020,45204,1
05/27/2020,45205,4
05/27/2020,45211,3
05/27/2020,45213,11
05/27/2020,45214,1
05/27/2020,45215,1
05/27/2020,45223,1
05/27/2020,45224,1
05/27/2020,45227,1
05/27/2020,45229,2
05/27/2020,45231,2
05/27/2020,45236,1
05/27/2020,45238,2
05/27/2020,45239,2
05/27/2020,45240,5
05/27/2020,45246,1
05/27/2020,45247,1
05/27/2020,45251,2
05/27/2020,45252,2
05/27/2020,45253,1
05/28/2020,,2
05/28/2020,45205,4
05/28/2020,45206,2
05/28/2020,45211,2
05/28/2020,45212,1
05/28/2020,45214,1
05/28/2020,45224,2
05/28/2020,45230,1
05/28/2020,45237,2
05/28/2020,45238,4
05/28/2020,45239,2
05/28/2020,45240,6
05/28/2020,45246,1
05/29/2020,45052,1
05/29/2020,45205,8
05/29/2020,45207,1
05/29/2020,45211,5
05/29/2020,45212,2
05/29/2020,45213,4
05/29/2020,45214,1
05/29/2020,45215,1
05/29/2020,45220,1
05/29/2020,45223,2
05/29/2020,45224,3
05/29/2020,45225,1
05/29/2020,45227,2
05/29/2020,45229,1
05/29/2020,45230,1
05/29/2020,45231,3
05/29/2020,45232,1
05/29/2020,45233,1
05/29/2020,45237,1
05/29/2020,45238,3
05/29/2020,45239,2
05/29/2020,45240,7
05/29/2020,45241,1
05/29/2020,45242,2
05/29/2020,45247,1
05/29/2020,45248,1
05/29/2020,45251,2
05/29/2020,45252,1
05/29/2020,45255,1
05/30/2020,45205,3
05/30/2020,45208,1
05/30/2020,45211,1
05/30/2020,45212,1
05/30/2020,45223,1
05/30/2020,45224,1
05/30/2020,45231,4
05/30/2020,45233,1
05/30/2020,45237,2
05/30/2020,45238,3
05/30/2020,45239,1
05/30/2020,45240,2
05/30/2020,45246,4
05/30/2020,45248,1
05/30/2020,45251,2
05/31/2020,45030,2
05/31/2020,45205,2
05/31/2020,45208,1
05/31/2020,45212,1
05/31/2020,45214,1
05/31/2020,45215,1
05/31/2020,45220,1
05/31/2020,45231,1
05/31/2020,45236,1
05/31/2020,45237,1
