"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,3,2,2022-01-19,2022-02-17,81,110,0.598570900658817,0.00260872502263376,0.594032470381746,0.604181292964751
5,3,2,2022-01-20,2022-02-18,82,111,0.596847577747921,0.00287293642697796,0.59088821777263,0.602434635115009
5,3,2,2022-01-21,2022-02-19,83,112,0.597395950981543,0.00312294919880024,0.591243904726181,0.603584489872468
5,3,2,2022-01-22,2022-02-20,84,113,0.593584023771893,0.00356622536674332,0.586376994122586,0.599706129303107
5,3,2,2022-01-23,2022-02-21,85,114,0.590132886121283,0.00337493897396013,0.584206454465075,0.596153846153846
5,3,2,2022-01-24,2022-02-22,86,115,0.588145429969356,0.00315373474871048,0.583233758700696,0.595359628770302
5,3,2,2022-01-25,2022-02-23,87,116,0.588567311193161,0.00310102008051409,0.583458399157451,0.594994075829384
5,3,2,2022-01-26,2022-02-24,88,117,0.595538852698731,0.00323256528340498,0.589711524273277,0.602556440903054
5,3,2,2022-01-27,2022-02-25,89,118,0.6084980503782,0.0041606496783531,0.600813042028019,0.617294863242161
5,3,2,2022-01-28,2022-02-26,90,119,0.622229501240651,0.00468576296266366,0.614117591897974,0.63086552888222
5,3,2,2022-01-29,2022-02-27,91,120,0.631466395485466,0.0044099477356322,0.623372842586816,0.640278644208775
5,3,2,2022-01-30,2022-02-28,92,121,0.636357655824497,0.00477416967790125,0.628280739934712,0.645609357997824
5,3,2,2022-01-31,2022-03-01,93,122,0.642642703634412,0.00524175836103792,0.632701123080449,0.653483841393536
5,3,2,2022-02-01,2022-03-02,94,123,0.656850633023637,0.00587562237172385,0.64476788920236,0.666837650679661
5,3,2,2022-02-02,2022-03-03,95,124,0.671512383846311,0.0063294202585644,0.658641715727502,0.682716568544996
5,3,2,2022-02-03,2022-03-04,96,125,0.68330707163405,0.00669388147815914,0.669223602484472,0.696156832298137
5,3,2,2022-02-04,2022-03-05,97,126,0.686925318178377,0.00683192932786456,0.674820554649266,0.701329526916803
5,3,2,2022-02-05,2022-03-06,98,127,0.688792334056684,0.00638753753488973,0.676688378471032,0.702322591703805
5,3,2,2022-02-06,2022-03-07,99,128,0.689619384566929,0.0059893334420987,0.678798267773367,0.703013352580296
5,3,2,2022-02-07,2022-03-08,100,129,0.692755730720804,0.00522704576759706,0.684210526315789,0.702631578947368
5,3,2,2022-02-08,2022-03-09,101,130,0.700543247546759,0.00627996492640491,0.688373065662903,0.712933918862401
5,3,2,2022-02-09,2022-03-10,102,131,0.709089549352201,0.0064467983956047,0.696883438343834,0.719880738073807
5,3,2,2022-02-10,2022-03-11,103,132,0.719246538456155,0.00733383201127613,0.70492515692902,0.733510381458233
5,3,2,2022-02-11,2022-03-12,104,133,0.728472059735412,0.0081505617450501,0.712948051948052,0.745285714285714
5,3,2,2022-02-12,2022-03-13,105,134,0.736082932884915,0.00917803069587187,0.720765104460757,0.752413890457369
5,3,2,2022-02-13,2022-03-14,106,135,0.738930990528734,0.00786722058790224,0.723624121779859,0.754742388758782
5,3,2,2022-02-14,2022-03-15,107,136,0.74009782918801,0.00748184507193157,0.722217261904762,0.752440476190476
5,3,2,2022-02-15,2022-03-16,108,137,0.742672896680855,0.00670908724354014,0.727082018927445,0.751782334384858
5,3,2,2022-02-16,2022-03-17,109,138,0.74984249651144,0.00765824978636711,0.734550938337802,0.764075067024129
5,3,2,2022-02-17,2022-03-18,110,139,0.763029457162553,0.00744642740429329,0.749455337690632,0.777777777777778
5,3,2,2022-02-18,2022-03-19,111,140,0.77468806104937,0.00834810300796795,0.761978756884343,0.791915814319433
5,3,2,2022-02-19,2022-03-20,112,141,0.778186132968373,0.00912194075865206,0.761152570480929,0.793532338308458
5,3,2,2022-02-20,2022-03-21,113,142,0.770707861270991,0.00858217799462353,0.754995784148398,0.785834738617201
5,3,2,2022-02-21,2022-03-22,114,143,0.752276591566568,0.00717620186469107,0.738355874894336,0.765490278951817
5,3,2,2022-02-22,2022-03-23,115,144,0.741177591573466,0.00911468887985994,0.720210384959713,0.759646374216652
5,3,2,2022-02-23,2022-03-24,116,145,0.722785258460446,0.0088400836632659,0.70533208606174,0.736202057998129
