"SI_mean","SI_sd","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
5,1,2,2020-12-06,2021-01-04,23,52,0.970757399253447,0.0014016669831258,0.968137645616186,0.973177498467198
5,1,2,2020-12-07,2021-01-05,24,53,0.961193592219992,0.0011920101691483,0.958730015082956,0.962870286576169
5,1,2,2020-12-08,2021-01-06,25,54,0.967237602056453,0.00155281045292242,0.964257453073243,0.970255183413078
5,1,2,2020-12-09,2021-01-07,26,55,0.977720128728835,0.0017298595207911,0.973915193472617,0.980876808010879
5,1,2,2020-12-10,2021-01-08,27,56,0.983517034858986,0.00140600659591937,0.980750873471425,0.986529822810082
5,1,2,2020-12-11,2021-01-09,28,57,0.983116393818663,0.00140582518032902,0.980004751346215,0.985715869496357
5,1,2,2020-12-12,2021-01-10,29,58,0.979345919165152,0.0013021088990974,0.977247785906816,0.981719291490181
5,1,2,2020-12-13,2021-01-11,30,59,0.96986482715929,0.00127794322434737,0.967652665692317,0.972210395882316
5,1,2,2020-12-14,2021-01-12,31,60,0.961576242673807,0.00142853572931689,0.958581573655103,0.964085281548517
5,1,2,2020-12-15,2021-01-13,32,61,0.96462529841152,0.00179703225955928,0.96090813864906,0.96810405027933
5,1,2,2020-12-16,2021-01-14,33,62,0.975514455482699,0.00166928212812467,0.972806201052767,0.97900885864681
5,1,2,2020-12-17,2021-01-15,34,63,0.985092966029371,0.0016599811188729,0.981402301079439,0.988501066511538
5,1,2,2020-12-18,2021-01-16,35,64,0.98994167866637,0.00154209858949819,0.987004124116261,0.992574954176486
5,1,2,2020-12-19,2021-01-17,36,65,0.993066243229423,0.00134234007237893,0.990747390119024,0.995782631823924
5,1,2,2020-12-20,2021-01-18,37,66,0.993047901488966,0.00118203260363977,0.990445712011673,0.995158187968429
5,1,2,2020-12-21,2021-01-19,38,67,0.989753316771648,0.00121455743772982,0.98719631661442,0.991901776384535
5,1,2,2020-12-22,2021-01-20,39,68,0.993023723517942,0.00145244327778779,0.990533900540826,0.996143318823374
5,1,2,2020-12-23,2021-01-21,40,69,0.988121304503716,0.00185461843564542,0.985399749125239,0.992278999141744
5,1,2,2020-12-24,2021-01-22,41,70,0.973425351767509,0.00167125357998111,0.970929731521379,0.97733841564468
5,1,2,2020-12-25,2021-01-23,42,71,0.955697166048406,0.00160166127190066,0.952899058682155,0.958513585686628
5,1,2,2020-12-26,2021-01-24,43,72,0.946032736461111,0.0016277889716196,0.943138979226123,0.949261631379837
5,1,2,2020-12-27,2021-01-25,44,73,0.929445536244411,0.00141896153524088,0.926972337756652,0.931999735921305
5,1,2,2020-12-28,2021-01-26,45,74,0.923130762096569,0.00146494303660397,0.920558274904088,0.926281584865723
5,1,2,2020-12-29,2021-01-27,46,75,0.927333531194238,0.00144341525543349,0.925044148611017,0.930452353460572
5,1,2,2020-12-30,2021-01-28,47,76,0.927791361201432,0.00159061810755613,0.925171008084019,0.931287569957853
5,1,2,2020-12-31,2021-01-29,48,77,0.918356463631612,0.00164260252864568,0.915315188266817,0.921352771118319
5,1,2,2021-01-01,2021-01-30,49,78,0.903492967954004,0.00155109131925427,0.900156847191173,0.906084589312757
5,1,2,2021-01-02,2021-01-31,50,79,0.893680334272436,0.00133848551251854,0.89075146601028,0.895498805473105
5,1,2,2021-01-03,2021-02-01,51,80,0.878708934698774,0.00140383551658935,0.876348289973692,0.881617217187957
5,1,2,2021-01-04,2021-02-02,52,81,0.871460249722534,0.00153579769788101,0.869017738848815,0.874394597379656
5,1,2,2021-01-05,2021-02-03,53,82,0.877912262075558,0.00159592656510063,0.87484883275928,0.88109644087256
5,1,2,2021-01-06,2021-02-04,54,83,0.887124012043101,0.00157467280293828,0.883976536577658,0.890270974877548
5,1,2,2021-01-07,2021-02-05,55,84,0.889556887180454,0.00163825997037921,0.887107823267126,0.892987434130523
5,1,2,2021-01-08,2021-02-06,56,85,0.885612706872715,0.00172856351817457,0.882380213140891,0.888986322060921
5,1,2,2021-01-09,2021-02-07,57,86,0.878645814170496,0.0015328011341778,0.876219564841996,0.881717319979278
5,1,2,2021-01-10,2021-02-08,58,87,0.869584616498086,0.00143478207178221,0.867468227715877,0.872662778551532
