"zip_code","time_frame","start_dt","end_dt","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.975.R."
45231,2,2021-01-29,2021-02-27,77,106,0.491368771273915,0.0223862654534383,0.450870253164557,0.53496835443038
45231,2,2021-01-30,2021-02-28,78,107,0.482442379420569,0.0233448512126019,0.440397350993377,0.526490066225166
45231,2,2021-01-31,2021-03-01,79,108,0.476227689245332,0.0219651056713467,0.439982876712329,0.513698630136986
45231,2,2021-02-01,2021-03-02,80,109,0.471247670239805,0.0248883302717297,0.428571428571429,0.525
45231,2,2021-02-02,2021-03-03,81,110,0.464552933195151,0.0251953835937477,0.421863117870722,0.517300380228137
45231,2,2021-02-03,2021-03-04,82,111,0.459071847784719,0.0281913834286698,0.404282868525896,0.52191235059761
45231,2,2021-02-04,2021-03-05,83,112,0.450384896971519,0.0286970368058549,0.397604166666667,0.506354166666667
45231,2,2021-02-05,2021-03-06,84,113,0.443272871109734,0.0293444622607647,0.395907079646018,0.497898230088496
45231,2,2021-02-06,2021-03-07,85,114,0.434724337818183,0.0288187839592113,0.384615384615385,0.488100961538461
45231,2,2021-02-07,2021-03-08,86,115,0.428749907177413,0.0290648154798535,0.378640776699029,0.490533980582524
45231,2,2021-02-08,2021-03-09,87,116,0.422846055560888,0.0297458129368731,0.371859296482412,0.485301507537688
45231,2,2021-02-09,2021-03-10,88,117,0.415220026232866,0.0310802111207555,0.358507853403141,0.476701570680628
45231,2,2021-02-10,2021-03-11,89,118,0.407326363315744,0.029969269617303,0.357786885245902,0.467349726775956
45231,2,2021-02-11,2021-03-12,90,119,0.398341950039476,0.0369059160836554,0.331360946745562,0.467455621301775
45231,2,2021-02-12,2021-03-13,91,120,0.389616508768029,0.0380190371761162,0.329032258064516,0.455
45231,2,2021-02-13,2021-03-14,92,121,0.381041954158144,0.0354242525050894,0.313,0.44
45231,2,2021-02-14,2021-03-15,93,122,0.374426339020641,0.0347872090497551,0.308219178082192,0.431506849315068
45231,2,2021-02-15,2021-03-16,94,123,0.361211078621228,0.0353852155438041,0.304963235294118,0.430330882352941
45231,2,2021-02-16,2021-03-17,95,124,0.339428256582071,0.0346541396767474,0.282904411764706,0.397058823529412
45231,2,2021-02-17,2021-03-18,96,125,0.317549601053212,0.0363255941964113,0.257575757575758,0.390340909090909
45231,3,2021-01-16,2021-02-14,2,31,1.01969708086091,0.0172505154665843,0.990689300411523,1.05457818930041
45231,3,2021-01-17,2021-02-15,3,32,0.926053581621831,0.0211725258191223,0.889830508474576,0.963983050847458
45231,3,2021-01-18,2021-02-16,4,33,0.886026674173597,0.02011532772123,0.851380042462845,0.926910828025478
45231,3,2021-01-19,2021-02-17,5,34,0.837141785239011,0.0207403944581881,0.801633986928105,0.875925925925926
45231,3,2021-01-20,2021-02-18,6,35,0.788113224442727,0.0219235017918737,0.744712643678161,0.830229885057471
45231,3,2021-01-21,2021-02-19,7,36,0.751595607312758,0.0231185460941929,0.715191387559809,0.794258373205742
45231,3,2021-01-22,2021-02-20,8,37,0.721128119764234,0.0224242073261249,0.682382133995037,0.759305210918114
45231,3,2021-01-23,2021-02-21,9,38,0.700758909900925,0.0229802312616485,0.657697201017812,0.738040712468193
45231,3,2021-01-24,2021-02-22,10,39,0.685673973063111,0.0227995505387842,0.638743455497382,0.725130890052356
45231,3,2021-01-25,2021-02-23,11,40,0.668923396872907,0.0218065149843213,0.625804289544236,0.710455764075067
45231,3,2021-01-26,2021-02-24,12,41,0.65358951964238,0.0232786832010702,0.609173669467787,0.697478991596639
45231,3,2021-01-27,2021-02-25,13,42,0.634040991655083,0.0261023350209611,0.577077151335312,0.675148367952522
45231,3,2021-01-28,2021-02-26,14,43,0.624909933922183,0.0254873198423053,0.570984848484849,0.665227272727273
45231,3,2021-01-29,2021-02-27,15,44,0.614800813970701,0.0266658655009704,0.560126582278481,0.659889240506329
45231,3,2021-01-30,2021-02-28,16,45,0.604980628166333,0.0251666851255431,0.559602649006622,0.647433774834437
45231,3,2021-01-31,2021-03-01,17,46,0.599348845075321,0.0271513280441994,0.547602739726027,0.650856164383562
45231,3,2021-02-01,2021-03-02,18,47,0.593877941136881,0.0284322910834199,0.55,0.646428571428571
45231,3,2021-02-02,2021-03-03,19,48,0.587326723161528,0.0301019338827668,0.541730038022814,0.648384030418251
45231,3,2021-02-03,2021-03-04,20,49,0.584487134591878,0.027269627364879,0.531573705179283,0.643525896414343
45231,3,2021-02-04,2021-03-05,21,50,0.587573117788531,0.0262823473934842,0.533333333333333,0.6396875
45231,3,2021-02-05,2021-03-06,22,51,0.588459453944939,0.0295216790331455,0.533075221238938,0.641592920353982
45231,3,2021-02-06,2021-03-07,23,52,0.588875206673317,0.0319058471959417,0.533413461538462,0.646754807692308
45231,3,2021-02-07,2021-03-08,24,53,0.596617259378564,0.0350709427742862,0.53118932038835,0.670145631067961
45231,3,2021-02-08,2021-03-09,25,54,0.602578598528962,0.0375107395480963,0.530025125628141,0.670979899497487
45231,3,2021-02-09,2021-03-10,26,55,0.6127316801626,0.0377205661892695,0.541753926701571,0.680628272251309
45231,3,2021-02-10,2021-03-11,27,56,0.625554759593159,0.0390535199622501,0.557103825136612,0.693989071038251
45231,3,2021-02-11,2021-03-12,28,57,0.641769720077601,0.0408213420503493,0.559023668639053,0.713165680473373
45231,3,2021-02-12,2021-03-13,29,58,0.658392786068909,0.0449137188445483,0.580322580645161,0.741935483870968
45231,3,2021-02-13,2021-03-14,30,59,0.673297956228232,0.0441666063146783,0.593333333333333,0.7505
45231,3,2021-02-14,2021-03-15,31,60,0.684719494777631,0.0472310367728306,0.592294520547945,0.764212328767123
45231,3,2021-02-15,2021-03-16,32,61,0.708297314715137,0.0532232779103612,0.606433823529412,0.808823529411765
45231,3,2021-02-16,2021-03-17,33,62,0.735120105295926,0.0528525430730314,0.639338235294118,0.830882352941177
45231,3,2021-02-17,2021-03-18,34,63,0.765077738327706,0.0537809805153272,0.666666666666667,0.879166666666667
45231,3,2021-02-18,2021-03-19,35,64,0.79689592769431,0.0512120734673994,0.7,0.888653846153846
45231,3,2021-02-19,2021-03-20,36,65,0.815371038064163,0.0531037043087771,0.72015503875969,0.918798449612403
45231,3,2021-02-20,2021-03-21,37,66,0.834673774791046,0.0556414423509692,0.733467741935484,0.935483870967742
45231,3,2021-02-21,2021-03-22,38,67,0.860844077275379,0.0549466946780053,0.766188524590164,0.959016393442623
45231,3,2021-02-22,2021-03-23,39,68,0.883096487122539,0.0563440882885947,0.787291666666667,1
45231,3,2021-02-23,2021-03-24,40,69,0.896047167162926,0.0576826990617097,0.791666666666667,1.01708333333333
45231,3,2021-02-24,2021-03-25,41,70,0.930664236082948,0.0555208856466232,0.841666666666667,1.02979166666667
45231,3,2021-02-25,2021-03-26,42,71,0.941990491074333,0.0585896985847895,0.844327731092437,1.04642857142857
45231,3,2021-02-26,2021-03-27,43,72,0.961385141151263,0.0618824689005556,0.860434782608696,1.09195652173913
45231,3,2021-02-27,2021-03-28,44,73,0.983630245017916,0.0636182579516557,0.881818181818182,1.11863636363636
45231,3,2021-02-28,2021-03-29,45,74,0.995833357719701,0.0631902698936033,0.90990990990991,1.14459459459459
45231,3,2021-03-01,2021-03-30,46,75,1.0146136685007,0.0667144832274812,0.895227272727273,1.14113636363636
45231,3,2021-03-02,2021-03-31,47,76,1.02747517132453,0.0624381292146233,0.926508620689655,1.14245689655172
45231,3,2021-03-03,2021-04-01,48,77,1.03119256351444,0.0587108704051068,0.938319672131148,1.14795081967213
45231,3,2021-03-04,2021-04-02,49,78,1.03381433441896,0.0596156850081411,0.936,1.16
45231,3,2021-03-05,2021-04-03,50,79,1.03725873851235,0.061272902722465,0.939314516129032,1.16975806451613
45231,3,2021-03-06,2021-04-04,51,80,1.04778247038231,0.0612307712496198,0.936764705882353,1.17647058823529
45231,3,2021-03-07,2021-04-05,52,81,1.04681417809346,0.0524949867736305,0.952,1.1604
45231,3,2021-03-08,2021-04-06,53,82,1.04465259663463,0.0480811452681091,0.945736434108527,1.14360465116279
45231,3,2021-03-09,2021-04-07,54,83,1.04459500920282,0.0507300003715134,0.945348837209302,1.13953488372093
45231,3,2021-03-10,2021-04-08,55,84,1.03915927888846,0.0487786171122832,0.93984962406015,1.12424812030075
45231,3,2021-03-11,2021-04-09,56,85,1.03305954005559,0.041788121192561,0.955514705882353,1.10680147058824
45231,3,2021-03-12,2021-04-10,57,86,1.02792753106911,0.0442895298206293,0.937408759124088,1.09489051094891
45231,3,2021-03-13,2021-04-11,58,87,1.02397117631394,0.0431426038734081,0.937773722627737,1.09872262773723
45231,3,2021-03-14,2021-04-12,59,88,1.01170989663445,0.0394295133846633,0.9375,1.08697916666667
45231,3,2021-03-15,2021-04-13,60,89,1.00549555063434,0.0388768437094283,0.924137931034483,1.07586206896552
45231,3,2021-03-16,2021-04-14,61,90,0.998120308577554,0.0380935816280918,0.918918918918919,1.07111486486486
45231,3,2021-03-17,2021-04-15,62,91,0.988172490237646,0.0390167152075442,0.904440789473684,1.06924342105263
45231,3,2021-03-18,2021-04-16,63,92,0.978442794535476,0.0367507631659995,0.906953642384106,1.04983443708609
45231,3,2021-03-19,2021-04-17,64,93,0.971285273769883,0.0354325719211752,0.912751677852349,1.04026845637584
45231,3,2021-03-20,2021-04-18,65,94,0.967040212014711,0.0371280125632169,0.908450704225352,1.04225352112676
45231,3,2021-03-21,2021-04-19,66,95,0.959062631912662,0.0369765898745415,0.890316901408451,1.03521126760563
45231,3,2021-03-22,2021-04-20,67,96,0.953271286168591,0.0373131847633189,0.891433566433566,1.03863636363636
45231,3,2021-03-23,2021-04-21,68,97,0.94367907889923,0.0367870135401787,0.879432624113475,1.02127659574468
45231,3,2021-03-24,2021-04-22,69,98,0.925914238297782,0.0368533782571986,0.868965517241379,1
45231,3,2021-03-25,2021-04-23,70,99,0.915122849903745,0.036932900685215,0.852568493150685,0.989897260273973
45231,3,2021-03-26,2021-04-24,71,100,0.890236988085755,0.0346534264841248,0.817068965517241,0.941551724137931
45231,3,2021-03-27,2021-04-25,72,101,0.880933894543512,0.0362098781520014,0.797431506849315,0.94195205479452
45231,3,2021-03-28,2021-04-26,73,102,0.861364328555351,0.0379296644812766,0.775986842105263,0.917927631578947
45231,3,2021-03-29,2021-04-27,74,103,0.846181529965004,0.0356651450309612,0.765865384615385,0.900801282051282
